\xF0\x9F\x98\x8E,SMILING FACE WITH SUNGLASSES
\xF0\x9F\x91\x91,CROWN
\xF0\x9F\x95\xA0,CLOCK FACE FIVE-THIRTY
\xF0\x9F\x93\x8F,STRAIGHT RULER
\xF0\x9F\x98\x93,FACE WITH COLD SWEAT
\xF0\x9F\x98\x92,UNAMUSED FACE
\xF0\x9F\x98\x91,EXPRESSIONLESS FACE
\xE2\x9D\x8E,NEGATIVE SQUARED CROSS MARK
\xF0\x9F\x8D\x98,RICE CRACKER
\xF0\x9F\x98\x96,CONFOUNDED FACE
\xF0\x9F\x98\x95,CONFUSED FACE
\xF0\x9F\x98\x94,PENSIVE FACE
\xF0\x9F\x8D\x94,HAMBURGER
\xF0\x9F\x8D\x95,SLICE OF PIZZA
\xE2\x98\x80,BLACK SUN WITH RAYS
\xF0\x9F\x98\x98,FACE THROWING A KISS
\xF0\x9F\x8D\x90,PEAR
\xF0\x9F\x8D\x91,PEACH
\xF0\x9F\x8D\x92,CHERRIES
\xF0\x9F\x8D\x93,STRAWBERRY
\xF0\x9F\x9A\xAE,PUT LITTER IN ITS PLACE SYMBOL
\xF0\x9F\x93\xB5,NO MOBILE PHONES
\xF0\x9F\x98\xAE,FACE WITH OPEN MOUTH
\xF0\x9F\x93\xB4,MOBILE PHONE OFF
\xF0\x9F\x87\xAF\xF0\x9F\x87\xB5,REGIONAL INDICATOR SYMBOL LETTER J + REGIONAL INDICATOR SYMBOL LETTER P
\xF0\x9F\x8F\xA1,HOUSE WITH GARDEN
\xF0\x9F\x93\xB7,CAMERA
\xF0\x9F\x8C\x93,FIRST QUARTER MOON SYMBOL
\xF0\x9F\x8C\x92,WAXING CRESCENT MOON SYMBOL
\xF0\x9F\x8C\x91,NEW MOON SYMBOL
\xF0\x9F\x91\x99,BIKINI
\xF0\x9F\x8C\x97,LAST QUARTER MOON SYMBOL
\xF0\x9F\x8C\x96,WANING GIBBOUS MOON SYMBOL
\xF0\x9F\x8C\x95,FULL MOON SYMBOL
\xF0\x9F\x8C\x94,WAXING GIBBOUS MOON SYMBOL
\xF0\x9F\x8C\x9C,LAST QUARTER MOON WITH FACE
\xF0\x9F\x8C\x9B,FIRST QUARTER MOON WITH FACE
\xF0\x9F\x8C\x9A,NEW MOON WITH FACE
\xF0\x9F\x8F\xA5,HOSPITAL
\xF0\x9F\x8C\x9F,GLOWING STAR
\xF0\x9F\x94\xB8,SMALL ORANGE DIAMOND
\xF0\x9F\x8C\x9D,FULL MOON WITH FACE
\xF0\x9F\x8C\x80,CYCLONE
\xE2\x96\xB6,BLACK RIGHT-POINTING TRIANGLE
\xF0\x9F\x8C\x81,FOGGY
\xF0\x9F\x8D\x86,AUBERGINE
\xF0\x9F\x8F\xA8,HOTEL
\xF0\x9F\x98\x9C,FACE WITH STUCK-OUT TONGUE AND WINKING EYE
\xE2\x9D\x87,SPARKLE
\xE2\x9D\x84,SNOWFLAKE
\xF0\x9F\x8F\xA9,LOVE HOTEL
\xF0\x9F\x98\x9F,WORRIED FACE
\xF0\x9F\x98\x9E,DISAPPOINTED FACE
\xF0\x9F\x98\x9D,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
\xF0\x9F\x8D\x9D,SPAGHETTI
\xF0\x9F\x8D\x9E,BREAD
\xF0\x9F\x8D\x9F,FRENCH FRIES
\xF0\x9F\x8D\x9A,COOKED RICE
\xF0\x9F\x8D\x9B,CURRY AND RICE
\xE2\x98\x8E,BLACK TELEPHONE
\xE2\x9A\xA0,WARNING SIGN
\xE2\x9A\xA1,HIGH VOLTAGE SIGN
\xF0\x9F\x87\xBA\xF0\x9F\x87\xB8,REGIONAL INDICATOR SYMBOL LETTER U + REGIONAL INDICATOR SYMBOL LETTER S
\xE2\x98\xBA,WHITE SMILING FACE
\xF0\x9F\x93\xA1,SATELLITE ANTENNA
\xF0\x9F\x92\x95,TWO HEARTS
\xF0\x9F\x92\x94,BROKEN HEART
\xE2\x9B\xAA,CHURCH
\xF0\x9F\x92\x96,SPARKLING HEART
\xF0\x9F\x92\x91,COUPLE WITH HEART
\xF0\x9F\x92\x90,BOUQUET
\xF0\x9F\x8D\x84,MUSHROOM
\xF0\x9F\x92\x92,WEDDING
\xE2\x93\x82,CIRCLED LATIN CAPITAL LETTER M
\xF0\x9F\x92\x99,BLUE HEART
\xF0\x9F\x92\x98,HEART WITH ARROW
\xF0\x9F\x93\xA2,PUBLIC ADDRESS LOUDSPEAKER
\xE2\x9A\xBE,BASEBALL
\xE2\xA4\xB5,ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS
\xF0\x9F\x92\xB4,BANKNOTE WITH YEN SIGN
\xF0\x9F\x92\xB5,BANKNOTE WITH DOLLAR SIGN
\xF0\x9F\x92\xB6,BANKNOTE WITH EURO SIGN
\xF0\x9F\x92\xB7,BANKNOTE WITH POUND SIGN
\xF0\x9F\x92\xB0,MONEY BAG
\xF0\x9F\x92\xB1,CURRENCY EXCHANGE
\xF0\x9F\x92\xB2,HEAVY DOLLAR SIGN
\x23\xE2\x83\xA3,NUMBER SIGN + COMBINING ENCLOSING KEYCAP
\xF0\x9F\x92\xB8,MONEY WITH WINGS
\xF0\x9F\x91\x9D,POUCH
\xF0\x9F\x92\xBD,MINIDISC
\xF0\x9F\x92\xBE,FLOPPY DISK
\xF0\x9F\x92\xBF,OPTICAL DISC
\xF0\x9F\x8E\xB3,BOWLING
\xF0\x9F\x92\xBA,SEAT
\xF0\x9F\x92\xBB,PERSONAL COMPUTER
\xF0\x9F\x92\xBC,BRIEFCASE
\xF0\x9F\x92\xB3,CREDIT CARD
\x36\xE2\x83\xA3,DIGIT SIX + COMBINING ENCLOSING KEYCAP
\xF0\x9F\x94\xB9,SMALL BLUE DIAMOND
\xF0\x9F\x95\xA6,CLOCK FACE ELEVEN-THIRTY
\xF0\x9F\x91\x9E,MANS SHOE
\xF0\x9F\x98\xAF,HUSHED FACE
\xF0\x9F\x95\xA7,CLOCK FACE TWELVE-THIRTY
\xF0\x9F\x92\x9E,REVOLVING HEARTS
\xF0\x9F\x92\x9D,HEART WITH RIBBON
\xF0\x9F\x92\x9F,HEART DECORATION
\xF0\x9F\x92\x9A,GREEN HEART
\xF0\x9F\x95\xA4,CLOCK FACE NINE-THIRTY
\xF0\x9F\x92\x9C,PURPLE HEART
\xF0\x9F\x92\x9B,YELLOW HEART
\xF0\x9F\x86\x98,SQUARED SOS
\xF0\x9F\x92\xB9,CHART WITH UPWARDS TREND AND YEN SIGN
\xF0\x9F\x9A\xB4,BICYCLIST
\x39\xE2\x83\xA3,DIGIT NINE + COMBINING ENCLOSING KEYCAP
\xF0\x9F\x91\x9B,PURSE
\xF0\x9F\x93\xA5,INBOX TRAY
\xF0\x9F\x8F\x89,RUGBY FOOTBALL
\xF0\x9F\x94\xB6,LARGE ORANGE DIAMOND
\xF0\x9F\x94\xB7,LARGE BLUE DIAMOND
\xE2\x99\x8C,LEO
\xE2\x99\x8B,CANCER
\xE2\x99\x8A,GEMINI
\xF0\x9F\x90\xBE,PAW PRINTS
\xF0\x9F\x90\xBB,BEAR FACE
\xE2\x99\x8F,SCORPIUS
\xE2\x99\x8E,LIBRA
\xE2\x99\x8D,VIRGO
\xF0\x9F\x93\xA6,PACKAGE
\xF0\x9F\x93\xB9,VIDEO CAMERA
\x32\xE2\x83\xA3,DIGIT TWO + COMBINING ENCLOSING KEYCAP
\xF0\x9F\x95\x9A,CLOCK FACE ELEVEN OCLOCK
\xF0\x9F\x91\xBC,BABY ANGEL
\xF0\x9F\x91\xBB,GHOST
\xF0\x9F\x91\xBA,JAPANESE GOBLIN
\xF0\x9F\x91\xBF,IMP
\xF0\x9F\x91\xBE,ALIEN MONSTER
\xF0\x9F\x91\xBD,EXTRATERRESTRIAL ALIEN
\xE2\x9E\xA1,BLACK RIGHTWARDS ARROW
\xF0\x9F\x92\xA9,PILE OF POO
\xF0\x9F\x91\xB9,JAPANESE OGRE
\xF0\x9F\x91\x9A,WOMANS CLOTHES
\xF0\x9F\x92\xA4,SLEEPING SYMBOL
\xF0\x9F\x91\xB3,MAN WITH TURBAN
\xF0\x9F\x91\xB2,MAN WITH GUA PI MAO
\xF0\x9F\x91\xB1,PERSON WITH BLOND HAIR
\xF0\x9F\x91\xB0,BRIDE WITH VEIL
\xF0\x9F\x91\xB7,CONSTRUCTION WORKER
\xF0\x9F\x91\xB6,BABY
\xF0\x9F\x91\xB5,OLDER WOMAN
\xF0\x9F\x91\xB4,OLDER MAN
\xF0\x9F\x90\xB6,DOG FACE
\xF0\x9F\x90\xB7,PIG FACE
\xF0\x9F\x90\xB4,HORSE FACE
\xF0\x9F\x90\xB5,MONKEY FACE
\xF0\x9F\x90\xB2,DRAGON FACE
\xF0\x9F\x90\xB3,SPOUTING WHALE
\xF0\x9F\x90\xB0,RABBIT FACE
\xF0\x9F\x90\xB1,CAT FACE
\xE2\x99\x89,TAURUS
\xE2\x99\x88,ARIES
\xE2\x97\x80,BLACK LEFT-POINTING TRIANGLE
\xF0\x9F\x90\xB8,FROG FACE
\xF0\x9F\x90\xB9,HAMSTER FACE
\xF0\x9F\x93\x80,DVD
\xF0\x9F\x93\xA9,ENVELOPE WITH DOWNWARDS ARROW ABOVE
\xF0\x9F\x92\xA2,ANGER SYMBOL
\xF0\x9F\x8D\x8E,RED APPLE
\xF0\x9F\x94\x80,TWISTED RIGHTWARDS ARROWS
\xE2\x9C\x89,ENVELOPE
\xE2\x9C\x88,AIRPLANE
\xF0\x9F\x8F\xAA,CONVENIENCE STORE
\xF0\x9F\x8F\xAF,JAPANESE CASTLE
\xF0\x9F\x8F\xAD,FACTORY
\xF0\x9F\x8F\xAE,IZAKAYA LANTERN
\xE2\x9C\x82,BLACK SCISSORS
\xE2\x9C\x85,WHITE HEAVY CHECK MARK
